artista,tipo,título_canción,nombre_album,año,genre
TOMORROW X TOGETHER,track,0X1=LOVESONG (I Know I Love You) feat. Seori,The Chaos Chapter: FREEZE,2021,pop
Cody Johnson,track,By Your Grace,Human The Double Album,2021,pop
Bruno Mars,track,Love's Train,An Evening With Silk Sonic,2021,pop
Taylor Swift,track,happiness,evermore (deluxe version),2021,pop
Taylor Swift,track,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),2021,pop
Noah Kahan,track,Animal,I Was / I Am,2021,pop
Justin Bieber,track,Holy (feat. Chance The Rapper),Justice,2021,pop
Bella Poarch,track,Build a Bitch,Build a Bitch,2021,pop
Taylor Swift,track,long story short,evermore (deluxe version),2021,pop
Macabre Plaza,track,Middle of Nowhere,Remember Me? EP from Mp,2021,pop
Jack Harlow,track,SUVs (Black on Black),SUVs (Black on Black),2021,pop
Taylor Swift,track,You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),2021,pop
Ariana Grande,track,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Positions (Deluxe),2021,pop
zzoilo,track,Mon Amour - Remix,Mon Amour (Remix),2021,pop
Taylor Swift,track,dorothea,evermore (deluxe version),2021,pop
Justin Bieber,track,Ghost,Justice,2021,pop
Tory Lanez,track,H.E.R.//Are You Dumb,PLAYBOY,2021,pop
Taylor Swift,track,marjorie,evermore (deluxe version),2021,pop
Becky Hill,track,Remember,Remember,2021,pop
Disney,track,"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",Disney Summer Songs,2021,pop
PinkPantheress,track,Break It Off,Break It Off,2021,pop
Drake,track,F*****g Fans,Certified Lover Boy,2021,pop
girl in red,track,Serotonin,if i could make it go quiet,2021,pop
David Guetta,track,Memories (feat. Kid Cudi) - 2021 Remix,Memories (feat. Kid Cudi) [2021 Remix],2021,pop
Taylor Swift,track,If This Was A Movie (Taylor’s Version),If This Was A Movie (Taylor’s Version),2021,pop
Taylor Swift,track,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,pop
girl in red,track,.,if i could make it go quiet,2021,pop
Chance Peña,track,War,War,2021,pop
The Marías,track,Little by Little,CINEMA,2021,pop
Doja Cat,track,Streets - Silhouette Remix,Streets (Silhouette Remix),2021,pop
Jazmine Sullivan,track,Pick Up Your Feelings,Heaux Tales,2021,pop
Tory Lanez,track,Ballad of a Badman,Alone At Prom,2021,pop
Twenty One Pilots,track,The Outside,Scaled And Icy,2021,pop
wave to earth,track,daisy.,daisy.,2021,pop
Lizzo,track,Rumors (feat. Cardi B),Rumors (feat. Cardi B),2021,pop
P!nk,track,Cover Me In Sunshine,Cover Me In Sunshine,2021,pop
Cody Johnson,track,'Til You Can't,'Til You Can’t / Longer Than She Did,2021,pop
Taylor Swift,track,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Mr. Perfectly Fine (Taylor’s Version) (From The Vault),2021,pop
NF,track,TRUST,CLOUDS (THE MIXTAPE),2021,pop
Doja Cat,track,I Don't Do Drugs (feat. Ariana Grande),Planet Her,2021,pop
The Paper Kites,track,For All You Give,Roses,2021,pop
aespa,track,Lucid Dream,Savage - The 1st Mini Album,2021,pop
NF,track,DRIFTING,CLOUDS (THE MIXTAPE),2021,pop
vaultboy,track,everything sucks,everything sucks,2021,pop
MARINA,track,Ancient Dreams in a Modern Land,Ancient Dreams In A Modern Land,2021,pop
Taylor Swift,track,Starlight (Taylor's Version),Red (Taylor's Version),2021,pop
aespa,track,Savage,Savage - The 1st Mini Album,2021,pop
Taylor Swift,track,The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),2021,pop
Bruno Mars,track,After Last Night (with Thundercat & Bootsy Collins),An Evening With Silk Sonic,2021,pop
Taylor Swift,track,Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,pop
Camilo,track,Vida de Rico,Mis Manos,2021,pop
Skylar Grey,track,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage","Last One Standing (feat. Polo G, Mozzy & Eminem) [From Venom: Let There Be Carnage]",2021,pop
Twenty One Pilots,track,Saturday,Scaled And Icy,2021,pop
Gatlin,track,What If I Love You,What If I Love You,2021,pop
T-Pain,track,I Like Dat,I Like Dat,2021,pop
Drake,track,You Only Live Twice (with Lil Wayne & Rick Ross),Certified Lover Boy,2021,pop
